gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001067,ATQ.1,00299M937,0000929245,C,00X,LC,28652,23559,1962-07-02,1966-01-30
001067,ATQ.1,00299M937,0000929245,P,01,LC,28652,23559,1966-01-31,1984-01-30
001069,ATVSQ,002095107,0000724768,C,01,LU,10480,6509,1983-10-18,1984-10-16
001070,AVC.1,002280105,0000008789,C,00X,LC,21549,23079,1968-01-01,1968-01-30
001070,AVC.1,002280105,0000008789,P,01,LC,21549,23079,1968-01-31,1981-04-30
001072,AVX,002444107,0000859163,C,01,LC,81912,30930,1995-08-15,2020-03-27
001072,AVX,002444107,0000859163,C,01,LC,56899,25544,1973-03-30,1990-01-18
001072,AVX,002444107,0000859163,C,00X,LC,56899,25544,1973-01-01,1973-03-29
001073,3AWCSA,002448108,0000319037,C,01,LU,10496,422,1981-03-09,1996-08-28
001074,AZL.,002455103,0000007237,P,01,LU,49648,25078,1969-12-04,1982-12-31
001075,PNW,723484101,0000764622,P,01,LU,27991,21409,1962-01-31,E
001076,PRG,74319R101,0001808834,P,01,LC,10517,5674,1982-11-04,1992-12-31
001076,PRG,74319R101,0001808834,J,02,LC,78049,5674,2010-12-01,2010-12-10
001076,PRG,74319R101,0001808834,P,01,LC,10517,5674,2010-12-01,E
001076,PRG,74319R101,0001808834,J,01,LC,10517,5674,1993-01-01,2010-11-30
001076,PRG,74319R101,0001808834,P,02,LC,78049,5674,1993-01-01,2010-11-30
001076,PRG,74319R101,0001808834,N,02,LC,78049,5674,1992-11-03,1992-12-31
001077,ARON.,002536100,,P,01,LU,10525,346,1979-01-31,1980-09-30
001077,ARON.,002536100,,C,00X,LU,10525,346,1973-07-01,1979-01-30
001078,ABT,002824100,0000001800,C,00X,LC,20482,20017,1950-01-01,1962-01-30
001078,ABT,002824100,0000001800,P,01,LC,20482,20017,1962-01-31,E
001079,ARPC.,002904100,0000007522,P,01,LC,10541,349,1969-01-31,1976-09-30
001079,ARPC.,002904100,0000007522,C,00X,LC,10541,349,1961-01-01,1969-01-30
001080,APT.A,003230109,,C,00X,LU,28660,23561,1962-10-01,1963-12-30
001080,APT.A,003230109,,P,01,LU,28660,23561,1963-12-31,1976-04-30
001081,ABY.2,003924107,0001039778,P,01,LC,10560,20019,1987-07-16,2007-10-26
001082,SERV.1,81765M106,0000001923,P,01,LC,10568,5580,1982-06-29,2011-08-31
001083,3ACAJC,003870300,0000098707,C,01,LC,44231,4531,1977-12-30,1980-01-31
001083,3ACAJC,003870300,0000098707,C,01,LC,44231,4531,1981-08-31,1988-04-06
001086,3AMETE,031095102,0000001969,C,01,LU,76876,10835,1991-06-28,1994-02-23
001087,ACAD.,004220109,0000320029,P,01,LU,10584,30,1981-03-03,1983-11-30
001088,ALAR.1,004295101,0000215005,P,01,LC,10592,149,1978-09-21,1986-02-05
001089,ACEL.1,004302105,,P,01,LC,10613,22208,1972-12-14,1979-11-30
001091,ACO.2,004330106,,P,01,LU,64688,5803,1983-02-11,1987-07-31
001092,ACCUQ,004377107,,P,01,LU,10621,34,1981-08-13,1983-04-29
001093,ACRA.,004396107,0000050346,P,01,LC,10640,50,1972-12-14,1987-03-31
001094,ACETQ,004446100,0000002034,P,01,LC,10656,37,1972-12-14,2019-10-02
001095,AK,004527107,0000319120,P,01,LC,10123,9754,1989-09-07,2002-06-14
001097,ACMTA,004616207,0000002062,N,01,LC,10664,47,1994-10-01,1995-09-01
