gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
007457,MIS.3,606191104,0000066953,P,01,LU,24627,23284,1962-01-31,1982-12-31
007457,MIS.3,606191104,0000066953,C,00X,LC,24627,23284,1960-01-01,1962-01-30
007458,UNF1,606198000,0000310183,C,00X,LC,58448,25608,1974-09-20,1978-10-31
007459,MRP.2,606215101,0000066957,P,01,LU,26905,23434,1962-01-31,1977-05-31
007461,3MRESE.,553469107,0000066965,C,01,LU,54501,3035,1978-01-31,1991-10-22
007461,3MRESE.,553469107,0000066965,C,00X,LU,54501,3035,1973-02-01,1978-01-30
007463,3PRFIE,71375T203,0000724967,C,01,LU,54528,6534,1983-10-28,1991-07-03
007464,3MSST,470236100,0000066995,P,01,LU,54536,3059,1972-12-14,1987-09-30
007465,MSPC.,606500106,0000068689,P,01,LU,54552,3057,1972-12-14,1976-07-30
007466,MND.2,606592202,0000311995,J,03,LC,77719,21209,2000-06-01,2000-06-29
007466,MND.2,606592202,0000311995,P,03,LC,77719,21209,1994-11-01,2000-05-31
007466,MND.2,606592202,0000311995,J,03,LC,77719,21209,1992-06-25,1994-10-31
007466,MND.2,606592202,0000311995,J,02,LC,55191,21209,1994-11-01,2000-05-31
007466,MND.2,606592202,0000311995,P,02,LC,55191,21209,1992-07-01,1994-10-31
007466,MND.2,606592202,0000311995,J,02,LC,55191,21209,1992-06-25,1992-06-30
007466,MND.2,606592202,0000311995,P,01,LC,55191,21209,1972-07-28,1992-06-24
007466,MND.2,606592202,0000311995,P,02,LC,55191,21209,2000-06-01,2002-01-24
007468,MTE.2,606708105,0000067078,P,01,LU,47538,24946,1969-01-20,1985-05-21
007469,3ZARLF,989139100,0000352435,P,01,LC,62949,21210,1981-05-18,2008-07-28
007470,3MMII,576843304,0000315807,C,01,LU,90230,2962,1982-11-01,1988-12-14
007471,MITSY,606827202,0000067099,P,90,LC,54579,2935,1978-01-31,2011-04-21
007472,MIZL,606902104,,P,01,LU,54587,2937,1981-04-20,1985-01-31
007475,MOB.2,607059102,0000067182,P,01,LC,15966,21211,1962-01-31,1999-11-30
007475,MOB.2,607059102,0000067182,C,00X,LC,15966,21211,1950-01-01,1962-01-30
007477,MCCAB,607243102,,J,02,LU,54616,2799,1983-03-31,1989-04-28
007477,MCCAB,607243102,,P,01,LU,54608,2799,1978-05-17,1989-04-28
007478,MBLE,607369105,0000067212,C,00X,LC,54624,2794,1977-01-01,1977-01-30
007478,MBLE,607369105,0000067212,P,01,LC,54624,2794,1977-01-31,1998-02-01
007479,MH,552925505,0000067217,P,01,LU,48063,21142,1969-04-01,1995-09-29
007481,MOCO,607494101,0000067279,P,01,LU,54675,2985,1980-01-31,2017-06-30
007483,MFDS,607590106,0000067292,P,01,LC,54683,25384,1972-12-14,1973-03-12
007484,MMF.,607650108,,P,01,LU,50833,25149,1970-07-06,1978-01-31
007485,MOM.1,607662103,,P,01,LU,60118,2956,1972-12-14,1982-08-31
007486,MOD,607828100,0000067347,P,01,LU,54704,7093,1984-06-19,E
007487,MODX,607832102,,P,01,LU,90246,7512,1985-05-31,1987-07-31
007489,4689B,607907102,0000067385,P,01,LU,54747,2843,1978-12-29,1986-07-31
007489,4689B,607907102,0000067385,C,00X,LU,54747,2843,1973-04-01,1978-12-28
007490,MSY.1,607908100,,P,01,LU,62017,2831,1973-11-19,1986-05-30
007491,MBOT.1,607910106,,P,01,LC,54755,2796,1980-10-22,1985-11-29
007494,MOGL.,608013108,0000067410,C,01,LU,54763,2988,1972-12-14,1977-04-29
007495,MOH.,608030102,0000067412,P,01,LC,22760,23165,1962-01-31,1989-09-22
007495,MOH.,608030102,0000067412,C,00X,LC,22760,23165,1956-01-01,1962-01-30
007496,MAL.1,608149100,0000067417,P,01,LU,34235,23986,1966-01-31,1972-03-30
007497,3QTEL,746906106,,P,01,LU,45233,21467,1967-10-23,1992-05-29
007502,MWK.1,608302105,0000067435,P,01,LU,53516,25321,1971-11-08,1984-01-31
007503,3MBIO,608513107,0000719598,P,01,LU,54771,6215,1983-11-30,2000-01-04
007504,MOGN,552880106,0000702131,P,01,LU,54798,5545,1982-06-11,2008-01-31
007505,FAUL,312024102,0000729069,P,01,LU,54819,6899,1984-03-05,1998-01-30
007506,MOLX,608554101,0000067472,J,03,LC,76234,2991,1990-07-26,2013-12-06
007506,MOLX,608554101,0000067472,P,01,LC,54827,2991,1972-12-14,2013-12-06
007508,MDT.2,608727202,,P,01,LU,34243,23987,1966-01-31,1972-01-31
007509,MCPIQ,608753109,0001489137,P,01,LC,34251,23988,1966-01-31,1977-07-29
007509,MCPIQ,608753109,0001489137,P,02,LC,11999,53465,2010-07-29,2016-08-31
007510,MAHI,609176102,0000202685,C,01,LU,54843,2753,1980-04-09,2005-08-09
007511,MON.4,60999X104,,C,01,LU,68056,2992,1972-12-14,1982-03-30
007513,MIND.2,609082102,,C,01,LU,54878,2927,1972-12-14,1977-12-16
007514,MISIE,609090105,,P,01,LU,54886,6201,1983-08-25,1985-07-31
007515,GWOW,37184G104,0000067532,P,01,LU,22023,21213,1962-01-31,2000-06-02
007515,GWOW,37184G104,0000067532,C,00X,LU,22023,21213,1950-01-01,1962-01-30
007518,MWCH,609192109,,P,01,LU,54907,5176,1981-11-11,1984-11-30
007520,3057B,609295100,0000072902,P,01,LU,54923,3045,1979-01-31,1982-12-31
007520,3057B,609295100,0000072902,C,00X,LU,54923,3045,1978-01-01,1979-01-30
007521,MNFT,609348107,0000067593,P,01,LU,54950,2973,1972-12-14,1987-05-29
007522,MTRMQ,609395108,0000351507,C,01,LU,90254,7547,1985-05-16,1992-02-28
007523,MLAB.,609414107,0000067607,P,01,LC,54966,2945,1979-01-31,1989-08-28
007523,MLAB.,609414107,0000067607,C,00X,LC,54966,2945,1974-01-01,1979-01-30
007524,2839B,609711106,0000067622,C,01,LU,55002,2939,1972-12-14,1977-08-31
007525,MNR.2,609720107,0000067625,C,01,LC,55029,9480,1987-09-03,2022-02-25
007525,MNR.2,609720107,0000067625,C,00X,LC,55029,9480,1973-10-01,1974-04-08
007526,QDEL,219798105,0001906324,P,01,LU,76591,10827,1991-02-01,E
007527,NTK1,609762000,0000067634,P,01,LU,34278,23989,1965-01-29,1983-08-25
007527,NTK1,609762000,0000067634,C,00X,LU,34278,23989,1962-07-02,1965-01-28
007528,3MOGOFF,609778105,0000319478,C,99X,LU,78327,27322,1987-05-30,1990-04-30
007528,3MOGOFF,609778105,0000319478,P,01,LU,78327,27322,1982-11-01,1987-04-30
007531,MMIC.,609836101,,P,01,LU,55053,2961,1980-08-06,1987-08-31
007532,MGT.1,609903109,0000067574,P,01,LU,58907,2957,1978-01-31,1986-06-30
007532,MGT.1,609903109,0000067574,C,00X,LU,58907,2957,1978-01-01,1978-01-30
007534,MAE.1,610304107,0000067657,C,01,LC,46201,24868,1968-05-08,1977-06-30
007535,MNRO.,610889107,0000067667,P,01,LU,55061,25413,1972-12-14,1973-11-30
007536,PHA.1,71713U102,0000067686,P,01,LU,18382,21214,1962-01-31,2003-04-30
007536,PHA.1,71713U102,0000067686,C,00X,LU,18382,21214,1950-01-01,1962-01-30
007537,MTP.1,612085100,0000067727,P,01,LC,24256,21215,1962-01-31,2002-02-13
007537,MTP.1,612085100,0000067727,C,00X,LC,24256,21215,1951-01-01,1962-01-30
007539,MNTJ,612384107,,P,01,LU,55080,2980,1981-08-03,1984-02-29
007540,MLSN,612504100,0000200521,P,01,LU,84743,3082,1972-12-14,1973-12-28
007543,MTS,614115103,0000067813,P,01,LU,57082,21217,1982-01-29,2015-12-31
007543,MTS,614115103,0000067813,C,00X,LU,57082,21217,1982-01-01,1982-01-28
007546,MNE.2,615312204,,P,01,LU,62957,25704,1977-01-18,1984-06-14
007547,MONU,615318409,,P,01,LU,55088,2995,1972-12-14,1986-08-29
007548,MRLTZ,554050104,0000870246,P,01,LC,76528,28946,1990-12-04,1992-12-08
007548,MRLTZ,554050104,0000870246,P,01,LC,51246,21218,1970-10-02,1990-11-30
007549,MOG.A,615394202,0000067887,P,01,LU,61807,21219,1980-06-12,E
007549,MOG.A,615394202,0000067887,J,02,LU,42614,21219,1981-10-30,E
007550,MORS,615598109,,P,01,LU,55109,3005,1972-12-14,1978-07-31
007553,WEST.1,954828109,0000351155,P,01,LC,55117,2887,1974-10-28,1995-12-26
007554,MWI,615857109,0000067931,P,01,LU,62324,21221,1980-11-13,2004-02-27
007555,MMR.2,615798105,0000733663,P,01,LU,22461,23146,1962-01-31,1988-05-31
007555,MMR.2,615798105,0000733663,C,00X,LU,22461,23146,1950-01-01,1962-01-30
007556,MMD.1,615799103,0000074691,P,01,LU,67678,3387,1972-12-14,2004-04-30
007557,MORP,615836103,0000067975,C,01,LU,55125,3003,1972-12-14,2000-02-29
007558,MORF.1,616350104,0000068013,P,01,LU,55133,2999,1972-12-14,1992-07-31
007559,4141B,616434106,0000230392,P,01,LU,55141,2997,1979-01-31,1984-06-29
007560,MOE.1,616457107,0000928242,P,01,LC,62332,3002,1972-12-14,1984-03-20
007561,SUMX,86562T105,0000062262,P,01,LU,55160,2936,1980-03-06,2006-10-31
007562,JPM.Z,616880100,0000068100,P,01,LC,48071,21222,1969-04-01,2000-12-29
007563,3MRGAE,616884102,0000068073,C,01,LU,55168,3038,1972-12-14,1978-05-22
007564,MOR.2,617410105,0000729600,P,01,LU,68582,5960,1983-05-05,2001-04-30
007565,MORL.1,617639109,0000068168,P,01,LU,90297,3001,1984-11-20,1987-10-30
007566,RT,781182100,0000068270,P,01,LU,55213,3004,1972-12-14,2017-12-29
007567,3MRNKQ,618447106,0000763739,P,01,LU,55079,21225,1972-07-07,1996-06-28
007568,1424B,619041106,,C,01,LU,34286,23990,1973-01-31,1976-07-12
007571,VLP.2,919904102,0000079259,P,01,LU,52361,21226,1974-10-31,1998-02-27
007571,VLP.2,919904102,0000079259,C,00X,LU,52361,21226,1971-10-01,1974-10-30
007572,MGI.4,552885105,0000068330,C,01,LU,54324,21139,1972-03-02,2000-09-27
007574,CDD,218412104,0000068366,P,01,LC,21290,21228,1962-01-31,2000-05-24
007574,CDD,218412104,0000068366,C,00X,LC,21290,21228,1961-01-01,1962-01-30
007575,MRFD,616900205,0000068145,P,01,LU,64442,3039,1972-12-14,2004-08-24
007576,VERA.1,923351100,0000747605,P,01,LU,90310,7714,1985-08-28,2002-06-05
007577,MOSE,619547102,0000732986,C,01,LU,55248,3007,1975-06-16,1988-07-26
007578,MOSI,619600109,0000068412,P,01,LC,55256,3008,1972-12-14,1997-12-17
007579,MOSK,619711104,0000068439,P,01,LC,55272,3009,1972-12-14,1979-12-31
007580,MTCH.1,619721103,,P,01,LU,55299,3064,1972-12-14,1979-08-31
007581,MTIN.,619787104,0000068464,P,01,LU,55320,3072,1972-12-14,1976-11-30
007582,MOTOQ,619821101,0000704508,C,99X,LC,55328,5809,2004-10-30,2004-11-30
007582,MOTOQ,619821101,0000704508,P,01,LC,55328,5809,1983-03-09,2000-10-30
007583,MCMN.,619857105,,P,01,LU,55352,2818,1981-01-30,1985-02-28
007583,MCMN.,619857105,,C,00X,LU,55352,2818,1974-01-01,1981-01-29
007584,MHAM,619895105,0000068488,P,01,LU,55379,2905,1978-01-31,1979-08-31
007584,MHAM,619895105,0000068488,C,00X,LU,55379,2905,1973-05-01,1978-01-30
007585,MSI,620076307,0000068505,P,01,LC,22779,21230,1962-01-31,E
007585,MSI,620076307,0000068505,C,00X,LC,22779,21230,1950-01-01,1962-01-30
007586,3MSMD,620124107,0000846340,P,01,LU,40731,21231,1964-07-31,1995-09-29
007587,MLG.2,620178103,0000068528,C,01,LU,49090,25046,1969-08-27,1978-10-31
007588,MVW.1,623555109,0000068572,P,01,LU,34315,23993,1962-07-02,1982-05-28
007591,MTN.2,624220109,0000351707,P,01,LC,63247,3076,1981-05-13,1993-07-30
007592,MTSR.1,624280103,,P,01,LU,55408,3084,1979-01-31,1986-09-30
007594,SDGS.1,81371N100,0000319040,C,01,LU,55416,3097,1981-01-30,1983-11-11
007594,SDGS.1,81371N100,0000319040,C,00X,LU,55416,3097,1981-01-07,1981-01-29
007595,MVS.A,624590105,,C,01,LU,34331,23995,1962-07-02,1988-01-19
007596,MOVSQ,624595104,0000000008,C,01,LU,55424,3014,1981-01-30,1985-12-12
007597,4583B,624607107,0000068651,P,01,LU,34358,23996,1966-04-29,1987-03-31
007597,4583B,624607107,0000068651,C,00X,LU,34358,23996,1965-01-01,1966-04-28
007598,MOXA,624683108,0000313690,P,01,LU,55432,3015,1979-12-20,1984-12-31
007599,MOXE10,624710109,0000068656,C,01,LU,55459,3016,1977-12-30,1988-08-15
007599,MOXE10,624710109,0000068656,C,00X,LU,55459,3016,1974-01-01,1977-12-29
007601,3MOYC,624720207,0000200533,C,01,LU,82806,27511,1996-01-26,2003-01-02
007602,MUEL,624752101,0000068726,P,01,LU,55467,3087,1972-12-14,2004-12-31
007604,MUL.1,625370101,,P,01,LU,45831,24849,1968-03-06,1978-01-06
007606,MULT.1,625430103,,C,01,LU,55475,6577,1983-11-14,1992-06-05
007607,MLTF,625434105,0000068803,P,01,LU,55483,2952,1980-06-11,1993-07-30
007609,MMEDC,62545K107,0000068813,P,01,LU,12058,2959,1982-11-01,1995-12-29
007612,MKNLA,625744107,0000068851,J,02,LU,55539,2942,1982-01-29,1987-09-21
007612,MKNLA,625744107,0000068851,P,01,LU,55512,2942,1980-12-24,1991-07-31
007614,MUHC,625904107,0000357203,C,01,LC,55547,5852,1983-03-11,1987-01-05
007615,MVSTC,625906300,0000763135,C,02,LU,55555,6762,1984-07-24,1991-06-28
007616,MFD.,626144109,0000068864,P,01,LU,47167,24924,1968-11-18,1988-12-30
007617,WEAR.1,740909106,0000069067,P,02,LU,13290,21235,1962-01-31,2000-07-31
007617,WEAR.1,740909106,0000069067,C,00X,LU,13290,21235,1950-01-01,1962-01-30
007618,MPH.2,626643100,,P,01,LU,20095,22973,1962-01-31,1985-05-22
007618,MPH.2,626643100,,C,00X,LU,20095,22973,1950-01-01,1962-01-30
007619,4338B,626697106,0000106650,P,01,LU,45612,24834,1968-01-15,1986-10-31
007620,MUR,626717102,0000717423,P,01,LC,28345,21236,1962-01-02,E
007623,MMTGS,627146103,0000069178,P,01,LU,55619,2965,1979-01-31,1984-06-29
007623,MMTGS,627146103,0000069178,C,00X,LU,55619,2965,1974-01-01,1979-01-30
007624,MYO.1,627151103,0000069180,P,01,LC,34366,23997,1962-07-02,1988-07-22
007626,MAC.4,627482102,,P,01,LU,65007,3088,1981-05-21,1985-06-28
007628,MUST.1,628190100,,P,01,LU,55651,5187,1982-01-29,1990-08-31
007629,MTR.3,628220105,,P,01,LU,34374,23998,1966-01-31,1971-06-30
007631,MUTO,628300105,0000069414,P,01,LU,55670,5766,1980-03-31,1986-08-29
007631,MUTO,628300105,0000069414,C,00X,LU,55670,5766,1974-01-01,1980-03-30
007632,INTG,458685104,0000069422,C,00X,LU,55678,3091,1973-07-01,1977-10-30
007632,INTG,458685104,0000069422,P,01,LU,55678,3091,1977-10-31,E
007634,MUTZ,628443103,0000069454,C,01,LU,55694,25459,1973-01-31,1981-03-31
007635,MYR.1,554053108,,P,01,LC,52601,21238,1971-06-03,1984-06-29
007635,MYR.1,554053108,,P,01,LC,66640,21238,1984-07-25,2000-04-14
007636,MYE,628464109,0000069488,P,01,LU,65365,3102,1972-12-14,E
007637,VTRS,92556V106,0001792044,P,01,LC,69550,3104,1973-02-23,2020-11-16
007637,VTRS,92556V106,0001792044,P,01,LC,20057,57529,2020-11-17,E
007640,MYLX,628546103,0000731619,P,01,LU,90342,7262,1984-10-15,1999-09-30
007641,BFL.1,059451104,0000719146,P,01,LU,61591,21239,1982-01-29,1994-08-31
007642,NBII,628735201,0000313518,C,01,LU,63693,3132,1980-01-31,1991-12-05
007643,NCAC.1,628787103,0000728313,C,01,LU,55750,3142,1981-08-27,1987-08-25
007646,NCH,628850109,0000069960,P,01,LU,47773,21240,1969-02-24,2002-02-28
007647,BAC,060505104,0000070858,P,01,LC,59408,3151,1972-12-14,E
007648,VYX,62886E108,0000070866,C,01,LU,84372,31832,1997-01-02,E
007648,VYX,62886E108,0000070866,C,01,LU,19537,21241,1962-01-31,1991-09-19
007648,VYX,62886E108,0000070866,C,00X,LU,19537,21241,1950-01-01,1962-01-30
007649,3NUDYE,628885105,0000073275,P,01,LC,55774,3281,1975-04-30,1989-12-29
007650,FCN.1,31945A100,0000070040,P,01,LU,56450,3134,1972-12-14,1998-10-30
007651,NSL.1,628904104,0000070553,C,01,LU,56055,25490,1972-12-06,1982-05-28
007652,NIPNY,629050204,0000072127,C,90,LC,55782,3196,1978-01-31,2007-09-26
007653,NFAC,629094103,0000701936,P,01,LU,55811,5567,1983-01-31,1984-12-31
007656,NIN.,629135104,0001195614,P,01,LU,65699,25751,1983-10-27,1985-03-29
007657,NLIC,629153107,0000350493,P,01,LC,55838,3204,1981-07-09,1983-05-26
007658,NL,629156407,0000072162,P,02,LU,13303,21245,1962-01-31,E
007658,NL,629156407,0000072162,C,00X,LU,13303,21245,1950-01-01,1962-01-30
007659,NLT,629161100,0000072165,C,01,LU,54615,3206,1972-04-24,1982-11-04
007660,NRTI,45671Q204,0000072170,C,00X,LU,55846,25475,1973-08-01,1981-01-29
007661,NMS.1,629257106,0000072178,P,01,LU,34390,24000,1965-12-31,1973-05-31
007662,BMRA,09061H307,0000073290,P,01,LC,55862,3213,2016-08-26,E
007662,BMRA,09061H307,0000073290,P,01,LC,55862,3213,1979-01-31,2002-06-19
007663,3NPEY,629362104,0000216738,P,01,LC,55897,3237,1979-08-15,1988-10-24
007664,3NRGD,629378209,0000073225,C,01,LU,55918,3248,1979-01-31,1979-08-09
007664,3NRGD,629378209,0000073225,C,00X,LU,55918,3248,1974-01-01,1979-01-30
007665,HGFNQ,43740E104,0000277028,C,01,LC,56646,25532,1979-01-31,1981-07-08
007665,HGFNQ,43740E104,0000277028,C,01,LC,84205,29639,1996-11-08,2000-04-28
007665,HGFNQ,43740E104,0000277028,C,00X,LC,56646,25532,1978-12-19,1979-01-30
007667,2533B,629425109,,C,99X,LU,55926,3271,1974-01-01,1974-08-14
007668,NUI,629431107,0001105192,P,01,LC,64290,3293,1972-12-14,2004-12-31
007669,NUSCA,629433103,,P,01,LU,55934,3290,1978-01-31,1979-04-27
007671,3NVFC,629449109,0000073515,C,01,LU,22605,23153,1962-01-31,1986-05-28
007671,3NVFC,629449109,0000073515,C,00X,LU,22605,23153,1960-01-01,1962-01-30
007672,NWA,667280408,0001058033,P,02,LC,92013,12934,2007-05-31,2008-10-31
007672,NWA,667280408,0001058033,C,01,LC,80345,12934,1994-03-18,2005-09-23
007672,NWA,667280408,0001058033,C,01,LC,21485,23073,1962-01-31,1989-07-26
007672,NWA,667280408,0001058033,C,00X,LC,21485,23073,1950-01-01,1962-01-30
007674,NB.2,629525106,0000353001,P,01,LU,63255,25707,1981-07-24,1985-09-09
007674,NB.2,629525106,0000353001,P,01,LU,14533,22534,1962-01-31,1981-07-02
007674,NB.2,629525106,0000353001,C,00X,LU,14533,22534,1950-01-01,1962-01-30
007675,NB.3,629527102,0000069526,P,01,LU,13311,22426,1962-01-31,1981-07-31
007675,NB.3,629527102,0000069526,C,00X,LU,13311,22426,1950-01-01,1962-01-30
007678,NHWG,629775206,0000350070,C,01,LU,55969,3127,1981-02-24,1994-12-02
007679,NLC.2,629853102,0000069598,P,01,LU,41179,21248,1964-10-05,1999-12-31
007681,4608B,630030302,0000701353,P,01,LU,55977,6489,1983-10-12,1986-03-31
007682,NANO,630077105,,P,01,LC,90377,7317,1984-11-28,2019-10-27
007683,HYBE,44861A103,0000069623,C,01,LU,65373,3114,1980-07-31,1998-04-28
007683,HYBE,44861A103,0000069623,C,00X,LU,65373,3114,1980-07-28,1980-07-30
007685,NSSC,630402105,0000069633,P,01,LU,55993,5253,1982-01-29,E
007686,NAO.1,630854107,0000069645,P,01,LU,41822,24566,1965-04-19,1983-01-31
007687,NRD.1,630871101,0000069648,P,01,LU,44302,24748,1967-04-17,1983-05-31
007688,NARD,630877108,0000069652,P,01,LU,56005,25485,1972-12-14,1974-05-31
007691,NAFC,631158102,0000069671,P,01,LC,56040,5980,1983-05-12,2013-11-18
007692,NSHA,631226107,0000069680,P,01,LU,45487,21250,1967-12-11,2009-09-30
007694,MRNA.1,56899Z934,,C,02,LC,90393,7827,1985-11-05,1988-01-11
007694,MRNA.1,56899Z934,,C,02,LC,80004,7827,1993-12-07,2016-11-30
007695,NATO.,632279105,0000069720,C,01,LU,56056,3121,1978-01-31,1983-08-25
007696,NATH,632347100,0000069733,C,01,LU,78900,11980,1993-02-26,E
007697,NAL.2,632431102,0000069774,C,00X,LU,22189,23124,1949-07-01,1963-12-30
007697,NAL.2,632431102,0000069774,P,01,LU,22189,23124,1963-12-31,1979-12-31
007698,NFA,632448106,,C,01,LU,34454,24006,1966-01-31,1976-04-30
007700,NBT,632593505,0000069834,C,01,LC,56120,3128,1980-04-28,1990-06-19
007700,NBT,632593505,0000069834,C,01,LC,81528,3128,1995-04-28,2001-12-31
007701,NCM.1,632990107,,P,01,LC,10057,20020,1967-01-31,1967-12-29
007701,NCM.1,632990107,,C,00X,LC,10057,20020,1964-01-01,1967-01-30
007702,NB.1,634892103,0000069886,P,01,LU,34462,24007,1965-01-29,1974-07-31
007704,4429B,635080104,,P,01,LU,56144,6777,1984-02-15,1985-09-30
007706,NBYP,635094105,,C,01,LU,56152,3141,1972-12-14,1978-03-31
007707,NAC.3,635128101,,P,01,LU,16803,22719,1962-01-31,1985-05-31
007707,NAC.3,635128101,,C,00X,LU,16803,22719,1955-01-01,1962-01-30
007708,FGNT,351684204,0000826495,P,01,LU,56179,4713,1977-10-06,1996-10-30
007709,NCAR.2,635213101,,C,01,LC,56187,25499,1972-12-14,1973-12-31
007710,NCFC.,635276108,,P,01,LU,56208,3148,1973-04-10,1983-04-29
007711,NCC,635405103,0000069970,P,01,LC,56232,3157,1973-05-01,2008-12-31
007712,NCLI.1,635417108,,P,01,LU,22912,3150,1962-01-31,1985-03-29
007712,NCLI.1,635417108,,C,00X,LU,22912,3150,1960-01-01,1962-01-30
007714,NCOL,635444102,,P,01,LU,56267,3154,1977-09-30,1984-12-31
007714,NCOL,635444102,,C,00X,LU,56267,3154,1973-09-01,1977-09-29
007716,NCBR,635470107,0000841534,P,01,LU,56291,3145,1973-01-31,1993-08-11
007718,NLCS,635519101,0000069999,P,01,LU,56339,3202,1976-01-30,2000-09-29
007718,NLCS,635519101,0000069999,C,00X,LU,56339,3202,1974-02-01,1976-01-29
007719,NCIS.,635561103,0000702517,P,01,LU,56347,5585,1982-07-09,1986-12-31
007720,NCS.1,635570500,0000314662,C,01,LC,78991,3153,1993-04-15,1995-12-13
007720,NCS.1,635570500,0000314662,C,01,LC,60978,3153,1972-12-14,1992-10-06
007721,NCS.2,635578107,0000070024,P,01,LU,58499,3156,1972-12-14,1979-06-29
007723,NDC,639480102,0000070033,P,01,LU,56363,3161,1972-12-14,2006-01-31
007724,CUE.1,747633105,0000070047,C,00X,LU,13354,21473,1950-01-01,1962-01-30
007724,CUE.1,747633105,0000070047,P,01,LU,13354,21473,1962-01-31,1993-10-29
007725,NDC.,635681109,,P,01,LU,56258,25505,1973-01-04,1978-08-31
007727,NEC,635771108,0000277821,C,01,LU,47028,21253,1968-10-22,1997-06-30
007728,MAJV,560850109,0000719082,C,01,LC,90414,6536,1985-02-26,1985-08-28
007728,MAJV,560850109,0000719082,C,01,LC,90414,6536,1983-10-31,1984-10-11
007728,MAJV,560850109,0000719082,C,01,LC,90414,6536,1986-02-10,1989-01-17
007729,3NECT,635830102,,C,01,LU,56371,3165,1978-01-31,1992-04-21
007729,3NECT,635830102,,C,00X,LU,56371,3165,1973-09-01,1978-01-30
007730,NFSI,636016107,0000741343,P,01,LU,90422,7707,1985-08-23,1989-05-31
007733,NFG,636180101,0000070145,P,01,LU,25590,21255,1962-01-31,E
007733,NFG,636180101,0000070145,C,00X,LU,25590,21255,1958-01-01,1962-01-30
007734,NLG,636195109,0000355313,P,01,LU,61444,3186,1973-01-31,1998-10-30
007734,NLG,636195109,0000355313,C,00X,LU,61444,3186,1973-01-01,1973-01-30
007735,NGC.1,636214108,0000070155,P,01,LU,24934,23302,1964-05-28,1973-11-30
007735,NGC.1,636214108,0000070155,C,00X,LU,24934,23302,1959-10-01,1964-05-27
007736,NGDC,636232100,0000739081,P,01,LU,56398,7059,1984-05-30,1986-06-23
007738,NATG,636312100,0000770178,P,01,LU,90449,7651,1985-07-19,1988-09-30
007739,NGCO,636317109,0000910071,C,02,LC,79510,12362,1993-09-13,1995-09-20
007739,NGCO,636317109,0000910071,C,02,LC,20570,23010,1962-01-31,1986-04-29
007739,NGCO,636317109,0000910071,C,00X,LC,20570,23010,1950-01-01,1962-01-30
007740,NHDI,629132101,0000070182,P,01,LC,56419,3189,1978-01-31,1995-04-28
007740,NHDI,629132101,0000070182,C,00X,LC,56419,3189,1973-02-01,1978-01-30
007741,NHC,635906100,0001047335,P,01,LC,72338,21256,1987-01-20,E
007741,NHC,635906100,0001047335,P,01,LC,56435,6173,1983-07-12,1986-12-31
007742,NHE,636333205,0001044431,P,01,LU,49170,25051,1969-09-09,1982-08-31
007743,3EGITE,291733103,0000070202,C,01,LU,52687,21254,1971-06-15,1994-12-06
007744,NII.1,636486102,0000070219,C,01,LC,45567,24829,1968-01-04,1977-12-31
007745,AVATQ,05349F402,0000716644,C,00X,LC,19019,21257,1950-01-01,1962-01-30
007745,AVATQ,05349F402,0000716644,C,01,LC,17278,56247,1983-09-13,1999-01-29
007745,AVATQ,05349F402,0000716644,C,01,LC,19019,21257,1962-01-31,1983-09-12
007746,NLPI,636635104,0000100348,P,01,LU,56478,3205,1972-12-14,1990-10-31
007747,2879B,636801102,,P,01,LU,56486,3207,1977-10-31,1981-04-16
007748,NTLQE,636807109,0000725364,P,01,LU,56507,6451,1983-10-04,1990-07-31
007749,NMD.2,636882102,0000070313,P,01,LU,58456,3120,1972-12-14,1984-12-31
007750,THC,88033G407,0000070318,P,01,LC,52337,21258,1971-04-28,E
007751,NMCN,636890105,,P,01,LU,56515,3208,1979-06-29,1983-03-31
007751,NMCN,636890105,,C,00X,LU,56515,3208,1973-04-01,1979-06-28
007753,NMIC,636904104,0000070333,C,01,LU,56531,3210,1978-01-31,1991-11-29
007754,NMS.,636905101,0000070337,P,01,LU,59096,3211,1972-12-14,1990-04-11
007755,NMDX,636911109,0000702408,C,01,LU,56550,6501,1983-10-14,1984-09-05
007756,NOLNB,637079203,,P,01,LU,56566,3223,1972-12-14,1981-12-31
007757,NOSC,637083106,0000216687,P,01,LU,56574,3228,1979-08-21,1980-09-30
007758,HSTG,43644Q104,0000070412,C,01,LC,53137,3235,1987-10-22,2000-11-16
007758,HSTG,43644Q104,0000070412,C,01,LC,53137,3235,1986-11-05,1987-08-31
007758,HSTG,43644Q104,0000070412,C,01,LC,53137,3235,1981-02-12,1985-11-03
007758,HSTG,43644Q104,0000070412,C,01,LC,53137,3235,1971-09-07,1979-06-25
007759,GPX,36225V104,0000070415,P,01,LU,58501,3236,1972-12-14,2021-10-29
007761,0738B,629360934,0001548621,J,02,LC,76787,7184,1991-08-12,1995-08-08
007761,0738B,629360934,0001548621,J,01,LC,56630,7184,1995-08-01,1995-08-08
007761,0738B,629360934,0001548621,P,01,LC,56630,7184,1984-08-14,1995-07-31
007761,0738B,629360934,0001548621,P,03,LC,56630,7184,1995-08-09,2001-08-31
007762,NPK,637215104,0000080172,P,01,LU,34497,21259,1962-07-02,E
007763,3NAPE,637252107,0000070453,C,01,LU,56638,3115,1978-01-31,1993-01-04
