cusip
00002130
00003210
00016510
00020910
00030710
00032Q10
00035210
00035410
00036020
00036110
00037010
00037520
00075210
00077010
00077110
00077410
00077510
00077R10
00078110
00078210
00078810
00079410
00079H10
00081T10
00086510
00086810
00086T10
00087230
00087410
00087B10
00087X10
00088510
00088630
00088E10
00088U10
00089310
00089910
00089C10
00089J10
00090810
00090Q10
00091410
00091530
00091710
00091810
00091910
00091E10
00091F30
00091G10
00092810
00093710
00094210
00094420
00094910
00095010
00095510
00095710
00097310
00097510
00098110
00099V00
00099X91
00100410
00100710
00100W10
00101510
00101J10
00103010
00103110
00103210
00103810
00104G10
00104H10
00105493
00105510
00105720
00105820
00106110
00107310
00107510
00108410
00108J10
00108M10
00109K10
00122010
00122850
00123020
00123Q10
00124010
00125010
00129010
00129610
00130310
00130710
00130H10
00130R10
00132010
00134810
00136010
00136693
00138L10
00141210
00141J10
00142310
00142510
00142G10
00144410
00147610
00152K20
00154710
00157530
00160010
00161P10
00162710
00163T10
00163U10
00164210
00164410
00164V10
00165C30
00165R10
00166910
00166B10
00167010
00167410
00167610
00167X20
00168810
00169310
00171210
00171910
00173210
00173310
00173510
00174410
00175J10
00178510
00180C10
00180G30
00180N10
00181210
00181310
00181E10
00181T10
00182C10
00183210
00183L10
00184X10
00185510
00185E10
00186010
00186410
00187E20
00187Y10
00190310
00190710
00191240
00191G10
00191U10
00192010
00192610
00193020
00193220
00193500
00193610
00193710
00194110
00194410
00194710
00195750
00196310
00198410
00199K93
00202410
00202H10
00202M10
00203010
00203310
00203R10
00204810
00204C10
00204W10
00205P20
00206210
00206710
00206810
00206E20
00206F10
00206J10
00206P10
00206R10
00207510
00207B20
00207M10
00207N10
00207R10
00208310
00208410
00208B20
00208J10
00208K10
00208L10
00209510
00209A10
00209C10
00210T10
00211310
00211E10
00211V10
00211W10
00211Y50
00212020
00212110
00213H10
00213J10
00213T10
00215F10
00215L10
00215Q10
00215W10
00216W20
00217D10
00218A10
00225540
00228010
00234P10
00244410
00244810
00245110
00245510
00245810
00246W10
00247410
00252W10
00253610
00253900
00253D10
00253G10
00255310
00256410
00256710
00256Q10
00258W10
00258Y10
00278610
00282410
00287910
00287Y10
00288U10
00289620
00289R20
00289Y20
00290410
00291910
00299A93
